"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","data_root","dropout","epochs","image_size","lr","max_epochs","min_delta","min_epochs","model_name","monitor_metric","monitor_mode","num_classes","num_workers","patience","persistent_workers","pin_memory","pretrained","project","run_name","save_dir","seed","weight_decay","freeze_backbone_epochs","label_smoothing","test_sample_size","train_sample_size","val_sample_size","use_class_weights","use_weighted_sampler","hidden_dim","best_auc","best_epoch","epoch","train/acc","train/loss","val/acc","val/auc","val/f1","val/loss","val/precision","val/recall","test/acc","test/auc","test/f1","test/loss","test/precision","test/recall","test_acc","test_auc","test_f1","test_precision","test_recall","lr/backbone","lr/head","train/backbone_frozen","test_per_source/real_acc","test_per_source/real_auc","test_per_source/real_f1","test_per_source/src_1_acc","test_per_source/src_1_auc","test_per_source/src_1_f1","test_per_source/src_2_acc","test_per_source/src_2_auc","test_per_source/src_2_f1","test_per_source/src_3_acc","test_per_source/src_3_auc","test_per_source/src_3_f1","test_per_source/src_4_acc","test_per_source/src_4_auc","test_per_source/src_4_f1","test_per_source/src_5_acc","test_per_source/src_5_auc","test_per_source/src_5_f1","test_per_source/real_err","test_per_source/src_1_err","test_per_source/src_2_err","test_per_source/src_3_err","test_per_source/src_4_err","test_per_source/src_5_err","best_val_per_dataset/cifake_acc","best_val_per_dataset/cifake_auc","best_val_per_dataset/cifake_f1","best_val_per_dataset/cifake_loss","best_val_per_dataset/hemg_acc","best_val_per_dataset/hemg_auc","best_val_per_dataset/hemg_f1","best_val_per_dataset/hemg_loss","best_val_per_dataset/rajarshi_acc","best_val_per_dataset/rajarshi_auc","best_val_per_dataset/rajarshi_f1","best_val_per_dataset/rajarshi_loss","best_val_per_dataset_source/cifake::unknown_acc","best_val_per_dataset_source/cifake::unknown_err","best_val_per_dataset_source/cifake::unknown_loss","best_val_per_dataset_source/hemg::unknown_acc","best_val_per_dataset_source/hemg::unknown_err","best_val_per_dataset_source/hemg::unknown_loss","best_val_per_dataset_source/rajarshi::real_acc","best_val_per_dataset_source/rajarshi::real_err","best_val_per_dataset_source/rajarshi::real_loss","best_val_per_dataset_source/rajarshi::src_1_acc","best_val_per_dataset_source/rajarshi::src_1_err","best_val_per_dataset_source/rajarshi::src_1_loss","best_val_per_dataset_source/rajarshi::src_2_acc","best_val_per_dataset_source/rajarshi::src_2_err","best_val_per_dataset_source/rajarshi::src_2_loss","best_val_per_dataset_source/rajarshi::src_3_acc","best_val_per_dataset_source/rajarshi::src_3_err","best_val_per_dataset_source/rajarshi::src_3_loss","best_val_per_dataset_source/rajarshi::src_4_acc","best_val_per_dataset_source/rajarshi::src_4_err","best_val_per_dataset_source/rajarshi::src_4_loss","best_val_per_dataset_source/rajarshi::src_5_acc","best_val_per_dataset_source/rajarshi::src_5_err","best_val_per_dataset_source/rajarshi::src_5_loss","test/cifake/acc","test/cifake/auc","test/cifake/f1","test/cifake/loss","test/cifake/precision","test/cifake/recall","test/hemg/acc","test/hemg/auc","test/hemg/f1","test/hemg/loss","test/hemg/precision","test/hemg/recall","test/rajarshi/acc","test/rajarshi/auc","test/rajarshi/f1","test/rajarshi/loss","test/rajarshi/precision","test/rajarshi/recall","test_cifake_acc","test_cifake_auc","test_cifake_f1","test_cifake_precision","test_cifake_recall","test_hemg_acc","test_hemg_auc","test_hemg_f1","test_hemg_precision","test_hemg_recall","test_rajarshi_acc","test_rajarshi_auc","test_rajarshi_f1","test_rajarshi_precision","test_rajarshi_recall"
"resnet18-real_artifact_net-aggregate-final","finished","-","","","2026-03-19T01:46:41.000Z","6184","","128","data","0.2","","224","0.0001","30","0.0001","5","real_artifact_net","auc","max","2","12","5","true","true","true","ai-image-detection","resnet18-real_artifact_net-aggregate-final","checkpoints","0","0.0001","","","","","","","","256","0.9953056573867798","21","21","0.9891344858232276","0.026652839907763588","0.9677608013153076","0.9952821731567384","0.968497395515442","0.1357904001519379","0.9692838191986084","0.9677608013153076","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9872000217437744","0.9993844032287598","0.987198770046234","0.054430728617683055","0.9676775932312012","0.9951298832893372","0.9679023623466492","0.14870699260124304","0.8478666543960571","0.9611592888832092","0.8669313192367554","0.33437347287601893","0.9872000217437744","0.012799978256225586","0.054430728617683055","0.9676775932312012","0.03232240676879883","0.14870699260124304","0.3623333275318146","0.6376666724681854","0.3398411178638538","0.4856666624546051","0.5143333375453949","0.33542260800302026","0.4893333315849304","0.5106666684150696","0.33133758467435837","0.4880000054836273","0.5119999945163727","0.3306741543263197","0.49566665291786194","0.5043333470821381","0.33640563101073107","0.4690000116825104","0.5309999883174896","0.3325597413778305","0.9898500442504884","0.9992709755897522","0.9898494482040404","0.043228292102576234","0.9899559020996094","0.9898500442504884","0.9652309417724608","0.9946811199188232","0.9654658436775208","0.15372502548855146","0.9657319784164428","0.9652309417724608","0.6479732990264893","0.6824303865432739","0.6482892036437988","1.6658708993699816","0.6486082077026367","0.6479732990264893","0.9898500442504884","0.9992709755897522","0.9898494482040404","0.9899559020996094","0.9898500442504884","0.9652309417724608","0.9946811199188232","0.9654658436775208","0.9657319784164428","0.9652309417724608","0.6479732990264893","0.6824303865432739","0.6482892036437988","0.6486082077026367","0.6479732990264893"
"resnet18-rgb-aggregate-final","finished","-","","","2026-03-19T00:44:23.000Z","3622","","128","data","0.2","","224","0.0001","30","0.0001","5","rgb","auc","max","2","12","5","true","true","true","ai-image-detection","resnet18-rgb-aggregate-final","checkpoints","0","0.0001","","","","","","","","256","0.9939650297164916","23","23","0.9895440415781004","0.025603107325733777","0.9344141483306884","0.9920960068702698","0.9400970935821532","0.28294462684634836","0.9492852687835692","0.9344141483306884","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.972599983215332","0.9989386796951294","0.9725823402404784","0.11414046341478824","0.95581316947937","0.99478018283844","0.9573531150817872","0.18403930097599813","0.8691333532333374","0.9642359018325806","0.8714097738265991","0.33013738611009386","0.972599983215332","0.02740001678466797","0.11414046341478824","0.95581316947937","0.04418683052062988","0.18403930097599813","0.38966667652130127","0.6103333234786987","0.33239057236909864","0.4746666550636291","0.5253333449363708","0.3316416453272104","0.4826666712760926","0.5173333287239075","0.331048943216602","0.4779999852180481","0.5220000147819519","0.32832740564147633","0.4950000047683716","0.5049999952316284","0.3301776212751865","0.4670000076293946","0.5329999923706055","0.3272381288309892","0.977500021457672","0.9991288185119628","0.9774905443191528","0.08612432908974152","0.9783040285110474","0.977500021457672","0.9534763097763062","0.9940771460533142","0.9548050165176392","0.19767775791252917","0.9572130441665648","0.9534763097763062","0.6555600166320801","0.6820734739303589","0.646572470664978","2.2293445140414767","0.639750063419342","0.6555600166320801","0.977500021457672","0.9991288185119628","0.9774905443191528","0.9783040285110474","0.977500021457672","0.9534763097763062","0.9940771460533142","0.9548050165176392","0.9572130441665648","0.9534763097763062","0.6555600166320801","0.6820734739303589","0.646572470664978","0.639750063419342","0.6555600166320801"
"resnet18-fft-aggregate-final","finished","-","","","2026-03-19T00:21:54.000Z","985","","128","data","0.2","","224","0.0001","30","0.0001","5","fft","auc","max","2","12","5","true","true","true","ai-image-detection","resnet18-fft-aggregate-final","checkpoints","0","0.0001","","","","","","","","256","0.811320424079895","2","2","0.840334688962882","0.33991183600622693","0.6410098075866699","0.7202098369598389","0.6411089897155762","0.7129447517043467","0.6637546420097351","0.6410098075866699","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73785001039505","0.8524200916290283","0.7317705154418945","0.5149244952440262","0.6804807782173157","0.787826657295227","0.6662360429763794","0.5809175264092251","0.5151333212852478","0.5196400284767151","0.46116554737091064","0.6975873319837782","0.73785001039505","0.26214998960494995","0.5149244952440262","0.6804807782173157","0.3195192217826843","0.5809175264092251","0.24033333361148831","0.7596666663885117","0.6980493797461191","0.31933334469795227","0.6806666553020477","0.6979592823982239","0.30533334612846375","0.6946666538715363","0.6967862561941147","0.2553333342075348","0.7446666657924652","0.6978031742572784","0.2653333246707916","0.7346666753292084","0.6975962548653285","0.22866666316986084","0.7713333368301392","0.6973296444416046","0.7374500036239624","0.8515776991844177","0.7313446402549744","0.516309718990326","0.761193037033081","0.7374500036239624","0.673680305480957","0.7817370891571045","0.6570597887039185","0.5911257116493733","0.6930527687072754","0.673680305480957","0.5026933550834656","0.5063368082046509","0.4533196389675141","0.7003748089896308","0.5015086531639099","0.5026933550834656","0.7374500036239624","0.8515776991844177","0.7313446402549744","0.761193037033081","0.7374500036239624","0.673680305480957","0.7817370891571045","0.6570597887039185","0.6930527687072754","0.673680305480957","0.5026933550834656","0.5063368082046509","0.4533196389675141","0.5015086531639099","0.5026933550834656"
"resnet50-real_artifact_net-final","finished","-","","","2026-03-17T22:28:53.000Z","2643","","128","data","0.2","","224","0.0001","30","0.0001","5","real_artifact_net","auc","max","2","12","5","true","true","true","ai-image-detection","resnet50-real_artifact_net-final","checkpoints","0","0.0001","","","","","","","","256","0.9577124118804932","15","20","0.9612619047619048","0.08141047051974705","0.7370666265487671","0.9470967054367064","0.7902336120605469","1.4179712074067858","0.9150019884109496","0.7370666265487671","0.6022933125495911","0.6778975129127502","0.6183152198791504","3.472181198204888","0.6589284539222717","0.6022933125495911","0.6022933125495911","0.6778975129127502","0.6183152198791504","0.6589284539222717","0.6022933125495911","","","","0.13486666977405548","","","0.4708000123500824","","","0.46853333711624146","","","0.46133333444595337","","","0.4729333221912384","","","0.46353334188461304","","","0.8651333302259445","0.5291999876499176","0.5314666628837585","0.5386666655540466","0.5270666778087616","0.536466658115387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resnet50-rgb-final","finished","-","","","2026-03-17T22:01:42.000Z","1568","","128","data","0.2","","224","0.0001","30","0.0001","5","rgb","auc","max","2","12","5","true","true","true","ai-image-detection","resnet50-rgb-final","checkpoints","0","0.0001","","","","","","","","256","0.94832444190979","18","23","0.9648333333333332","0.07653290425311951","0.7997333407402039","0.9434939622879028","0.841795027256012","1.0810202066103618","0.9107636213302612","0.7997333407402039","0.6358000040054321","0.6828907132148743","0.6421773433685303","3.0509342867533364","0.6501929759979248","0.6358000040054321","0.6358000040054321","0.6828907132148743","0.6421773433685303","0.6501929759979248","0.6358000040054321","","","","0.1868000030517578","","","0.45393332839012146","","","0.4543333351612091","","","0.4431333243846894","","","0.45500001311302185","","","0.43860000371932983","","","0.8131999969482422","0.5460666716098785","0.5456666648387909","0.5568666756153107","0.5449999868869781","0.5613999962806702","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resnet50-fft-final","finished","-","","","2026-03-17T21:48:01.000Z","488","","128","data","0.2","","224","0.0001","30","0.0001","5","fft","auc","max","2","12","5","true","true","true","ai-image-detection","resnet50-fft-final","checkpoints","0","0.0001","","","","","","","","256","0.7179877758026123","1","6","0.7854761904761904","0.4412085873399462","0.6314666271209717","0.7027113437652588","0.5792278051376343","0.6492760322358874","0.5823042988777161","0.6314666271209717","0.5260133147239685","0.5754741430282593","0.5260478258132935","1.2716467714945476","0.5260829925537109","0.5260133147239685","0.5260133147239685","0.5754741430282593","0.5260478258132935","0.5260829925537109","0.5260133147239685","","","","0.10473333299160004","","","0.41146665811538696","","","0.40400001406669617","","","0.41466665267944336","","","0.4485999941825866","","","0.4276666641235352","","","0.8952666670084","0.588533341884613","0.5959999859333038","0.5853333473205566","0.5514000058174133","0.5723333358764648","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resnet18-real_artifact_net-final-v2","finished","-","","","2026-03-16T22:56:52.000Z","535","","128","data","0.2","","224","0.0001","30","0.0001","5","real_artifact_net","auc","max","2","12","5","true","true","true","ai-image-detection","resnet18-real_artifact_net-final-v2","checkpoints","0","0.0001","","","","","","","","256","0.9499434232711792","6","11","0.9533809523809524","0.1010352069196247","0.83160001039505","0.949040412902832","0.8470519781112671","0.6111322193145752","0.8652420043945312","0.83160001039505","0.6432533264160156","0.6764333844184875","0.624353289604187","1.5549089394887288","0.6148847937583923","0.6432533264160156","0.6432533264160156","0.6764333844184875","0.624353289604187","0.6148847937583923","0.6432533264160156","0.00001","0.0001","","0.4616","","","0.8313333333333334","","","0.842","","","0.8238666666666666","","","0.8512","","","0.7761333333333333","","","0.5384","0.16866666666666663","0.15800000000000003","0.17613333333333336","0.14880000000000004","0.22386666666666663","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resnet18-rgb-final","finished","-","","","2026-03-16T22:25:57.000Z","704","","128","data","0.2","","224","0.0001","30","0.0001","5","rgb","auc","max","2","12","5","true","true","true","ai-image-detection","resnet18-rgb-final","checkpoints","0","0.0001","","","","","","","","256","0.9663623571395874","16","21","0.9689285714285716","0.07120217740358341","0.8560000061988831","0.965080738067627","0.8732327222824097","0.6093459075821771","0.8935837745666504","0.8560000061988831","0.6502000093460083","0.6777241826057434","0.6344950199127197","2.6753265038384333","0.6251919269561768","0.6502000093460083","0.6502000093460083","0.6777241826057434","0.6344950199127197","0.6251919269561768","0.6502000093460083","0.00001","0.0001","","0.4616","","","0.8462666666666666","","","0.8490666666666666","","","0.8350666666666666","","","0.8472","","","0.8164","","","0.5384","0.1537333333333334","0.15093333333333336","0.16493333333333338","0.15280000000000005","0.1836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resnet18-fft-final","finished","-","","","2026-03-16T22:16:15.000Z","414","","128","data","0.2","","224","0.0001","30","0.0001","5","fft","auc","max","2","12","5","true","true","true","ai-image-detection","resnet18-fft-final","checkpoints","0","0.0001","","","","","","","","256","0.6718851327896118","7","12","0.851","0.31153215117681593","0.5771999955177307","0.6444037556648254","0.34792405366897583","0.8293734748098586","0.5647817850112915","0.5771999955177307","0.5337333083152771","0.5691404342651367","0.31276971101760864","0.8081034244219462","0.5302379131317139","0.5337333083152771","0.5337333083152771","0.5691404342651367","0.31276971101760864","0.5302379131317139","0.5337333083152771","0.00001","0.0001","","0.8645333333333334","","","0.2136","","","0.2028","","","0.17973333333333333","","","0.15613333333333335","","","0.2624","","","0.13546666666666662","0.7864","0.7972","0.8202666666666667","0.8438666666666667","0.7376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
